DECJ,    -69:02:41.60
RAJ,    09:52:17.2
DECJ,    -38:39:10.2
RAJ,    09:53:09.3097
DECJ,    07:55:35.75
RAJ,    09:54:06.04
DECJ,    -54:30:53.5
RAJ,    09:55:29.50
DECJ,    -53:04:16.7
RAJ,    09:55
DECJ,    -61:48
RAJ,    09:57
DECJ,    -06:17
RAJ,    09:57:56.01
DECJ,    -54:32:03.9
RAJ,    09:59:26.26
DECJ,    -48:09:47.5
RAJ,    10:00:28.141
DECJ,    -51:49:58.12
RAJ,    10:01:37.98
DECJ,    -55:07:06.7
RAJ,    10:01:08.60
DECJ,    -55:59:00.2
RAJ,    10:01:32.23
DECJ,    -59:39:17.8
RAJ,    10:02:57.9
DECJ,    -55:59:37
RAJ,    10:02:20.50
DECJ,    -59:19:37.2
RAJ,    10:03:21.58
DECJ,    -47:47:02.0
RAJ,    10:06:36.60
DECJ,    -63:11:41.2
RAJ,    10:10:00
DECJ,    +15:51
RAJ,    10:12:07
DECJ,    -42:35
RAJ,    10:12:33.434101
DECJ,    +53:07:02.60070
RAJ,    10:12:54.9
DECJ,    -58:30:25.6
RAJ,    10:12:48.5
DECJ,    -58:57:40
RAJ,    10:13:31.854
DECJ,    -59:34:26.7
RAJ,    10:14:18
DECJ,    -48:49:42
RAJ,    10:15:37.96
DECJ,    -57:19:12.8
RAJ,    10:16:31.2
DECJ,    -53:45:13.8
RAJ,    10:16:12.100
DECJ,    -58:19:01.15
RAJ,    10:16:21.16
DECJ,    -58:57:12.1
RAJ,    10:17:12.86
DECJ,    -56:21:30.7
RAJ,    10:17:51.32828
DECJ,    -71:56:41.64586
RAJ,    10:19:52.14
DECJ,    -57:49:05.9
RAJ,    10:20:14.03
DECJ,    -59:21:34
RAJ,    10:20:11.40
DECJ,    -60:26:06.8
RAJ,    10:21:24.82
DECJ,    -56:01:50.9
RAJ,    10:22:58.0007
DECJ,    +10:01:52.77
RAJ,    10:22:28.1
DECJ,    -58:13:30
RAJ,    10:23:47.68720
DECJ,    00:38:40.8455
RAJ,    10:23:02.9
DECJ,    -57:46:05
RAJ,    10:24:38.678633
DECJ,    -07:19:19.36778
RAJ,    10:28:28.0
DECJ,    -58:19:05.2
RAJ,    10:31:02.24
DECJ,    -61:17:50.6
RAJ,    10:32:27.69
DECJ,    -52:06:08.5
RAJ,    10:32:07
DECJ,    -59:10
RAJ,    10:35:03.08
DECJ,    -63:45:18.41
RAJ,    10:36:13.073
DECJ,    -49:26:21.77
RAJ,    10:36:20.04
DECJ,    -65:59:09.27
RAJ,    10:36
DECJ,    -83:17
RAJ,    10:38:26.933
DECJ,    +00:32:43.6
RAJ,    10:38:19.70
DECJ,    -58:31:27.18
RAJ,    10:41:36.196
DECJ,    -19:42:13.61
RAJ,    10:42:00.61
DECJ,    -55:21:05.5
RAJ,    10:43:55.29
DECJ,    -61:16:50.8
RAJ,    10:44:32.8
DECJ,    -57:37:19.3
RAJ,    10:45:50.18696
DECJ,    -45:09:54.1223
RAJ,    10:46:43.23
DECJ,    +03:04:06.9
RAJ,    10:46:18.87
DECJ,    -58:13:51.8
RAJ,    10:47:56
DECJ,    -58:41
RAJ,    10:47:28.282
DECJ,    -67:09:51.066
RAJ,    10:48:12.2
DECJ,    -58:32:05.8
RAJ,    10:49:50.34
DECJ,    -58:33:44.6
RAJ,    10:50:07.12
DECJ,    -59:53:21.4
RAJ,    10:52:38.11
DECJ,    -59:54:44.1
RAJ,    10:52:53.39
DECJ,    -63:48:16.6
RAJ,    10:54:57.75
DECJ,    -59:43:14.1
RAJ,    10:54:30.46
DECJ,    -59:46:31.0
RAJ,    10:54:08.84
DECJ,    -64:52:37.5
RAJ,    10:55:48.5
DECJ,    -60:22:52
RAJ,    10:55:39.19
DECJ,    -60:28:37.5
RAJ,    10:55:54.61
DECJ,    -62:36:48.3
RAJ,    10:55:44.71
DECJ,    -69:05:11.4
RAJ,    10:56:43.79
DECJ,    -57:09:34.5
RAJ,    10:56:25.55
DECJ,    -62:58:47.6
RAJ,    10:56:45.980
DECJ,    -71:17:53.394
